# {"t_start": 1575375206.093287, "env_id": "MobileDualUR5HuskyPickAndPlace-v1"} 
r,l,t
-107.756901,100,3.217606
-73.07918,100,6.51444
-68.652412,100,9.427539
-103.029704,100,12.062138
-157.198919,100,14.895192
-75.818824,100,17.710707
-130.035383,100,20.789855
-84.52221,100,24.04881
-82.930036,100,27.066858
-112.117192,100,29.895133
-116.041857,100,32.723089
-100.85925,100,35.469539
-129.087267,100,38.397649
-131.616752,100,41.275104
-92.467748,100,44.190278
-145.464331,100,46.827242
-64.632581,100,49.50048
-104.481516,100,52.267526
-80.913432,100,55.21153
-89.939299,100,58.489425
-81.599206,100,92.642546
-87.315091,100,95.952698
-125.641558,100,99.244693
-118.983613,100,101.874423
-143.286058,100,104.536807
-69.843647,100,107.493522
-56.799827,100,110.547115
-73.374489,100,113.6928
-88.891218,100,116.739938
-103.085137,100,119.545391
-72.622479,100,122.177839
-112.771771,100,125.109268
-97.8971,100,128.379688
-134.399507,100,131.331034
-78.578601,100,134.431642
-99.205449,100,137.315433
-137.801469,100,139.552937
-159.068303,100,142.308649
-94.660707,100,145.224342
-107.203303,100,148.571108
-145.76107,100,153.09015
-95.709515,100,156.384354
-119.782104,100,158.814386
-93.81173,100,161.831683
-95.805258,100,164.898993
-133.045913,100,168.044497
-85.746518,100,171.722644
-123.395151,100,174.364273
-92.303032,100,177.077007
-98.13215,100,179.977567
-145.532835,100,182.98311
-115.711295,100,186.544976
-75.538632,100,189.707751
-107.108892,100,192.125611
-118.095521,100,194.920462
-92.246682,100,197.979953
-103.786991,100,200.755357
-96.476843,100,203.980885
-85.052128,100,207.058477
-66.978041,100,209.584799
-113.379861,100,212.234855
-93.239992,100,216.610715
-110.342594,100,219.655228
-104.269157,100,223.107803
-82.290833,100,226.005461
-101.923096,100,228.634213
-117.690496,100,231.460255
-107.749148,100,234.267237
-74.843978,100,237.493169
-107.733437,100,240.857943
-92.444287,100,244.101488
-113.560091,100,246.750581
-85.572279,100,249.640883
-103.996111,100,252.962574
-121.723524,100,255.916015
-82.509774,100,259.361989
-126.737236,100,262.429618
-104.671226,100,265.047767
-125.362513,100,267.325152
-120.812914,100,270.276283
-90.484416,100,273.497603
-74.778272,100,278.027494
-83.406295,100,281.286692
-109.087166,100,284.199833
-116.477546,100,287.023914
-128.551867,100,290.236155
-109.839484,100,293.369266
-122.795376,100,296.199512
-80.177077,100,299.329067
-115.306517,100,301.889305
-94.163093,100,304.604238
-117.644975,100,307.711291
-147.491303,100,310.669973
-116.913742,100,313.445457
-127.834497,100,316.680007
